"filename", "language", "C", "C++", "comment", "blank", "total"
"/home/everlast1ng/code/CF/Round 1058/B. Distinct Elements.cpp", "C++", 0, -42, 0, -6, -48
"/home/everlast1ng/code/CF/Round 1058/C.cpp", "C++", 0, -56, 0, -9, -65
"/home/everlast1ng/code/CF/Round 1059/A.cpp", "C++", 0, -34, 0, -8, -42
"/home/everlast1ng/code/CF/Round 1059/B.cpp", "C++", 0, -47, 0, -11, -58
"/home/everlast1ng/code/CF/Round 1059/C.cpp", "C++", 0, -39, 0, -7, -46
"/home/everlast1ng/code/CF/Round 1060/A.cpp", "C++", 0, -44, -2, -9, -55
"/home/everlast1ng/code/CF/Round 1060/B.cpp", "C++", 0, -64, -4, -8, -76
"/home/everlast1ng/code/CF/Round 1060/C1.cpp", "C++", 0, -85, 0, -15, -100
"/home/everlast1ng/code/CF/Round 1061/A.cpp", "C++", 0, -32, 0, -8, -40
"/home/everlast1ng/code/CF/Round 1061/B.cpp", "C++", 0, -37, 0, -5, -42
"/home/everlast1ng/code/CF/Round 1061/C.cpp", "C++", 0, -24, 0, -6, -30
"/home/everlast1ng/code/CF/Round 1061/D.cpp", "C++", 0, -24, 0, -6, -30
"/home/everlast1ng/code/CF/Round 1062/A.cpp", "C++", 0, -29, 0, -4, -33
"/home/everlast1ng/code/CF/Round 1062/B.cpp", "C++", 0, -40, 0, -8, -48
"/home/everlast1ng/code/CF/Round 1062/C.cpp", "C++", 0, -53, 0, -7, -60
"/home/everlast1ng/code/CF/Round 1062/D.cpp", "C++", 0, -43, 0, -6, -49
"/home/everlast1ng/code/CF/Round 1062/E.cpp", "C++", 0, -73, 0, -16, -89
"/home/everlast1ng/code/CF/Round 1063/A.cpp", "C++", 0, -37, 0, -10, -47
"/home/everlast1ng/code/CF/Round 1063/B.cpp", "C++", 0, -50, 0, -8, -58
"/home/everlast1ng/code/CF/Round 1064/A.cpp", "C++", 0, -36, 0, -5, -41
"/home/everlast1ng/code/CF/Round 1064/B.cpp", "C++", 0, -34, 0, -6, -40
"/home/everlast1ng/code/CF/Round 1064/C.cpp", "C++", 0, -41, 0, -9, -50
"/home/everlast1ng/code/CF/Round 1064/D.cpp", "C++", 0, 0, 0, -1, -1
"/home/everlast1ng/code/CF/Round 1065/A.cpp", "C++", 0, -37, 0, -5, -42
"/home/everlast1ng/code/CF/Round 1065/B.cpp", "C++", 0, -60, 0, -11, -71
"/home/everlast1ng/code/CF/Round 1065/C1.cpp", "C++", 0, -48, 0, -9, -57
"/home/everlast1ng/code/CF/Round 1065/C2.cpp", "C++", 0, -54, 0, -9, -63
"/home/everlast1ng/code/CF/Round 1065/D.cpp", "C++", 0, -49, 0, -10, -59
