Date : 2026-01-21 01:19:32
Directory : /home/everlasting/acm_training
Total : 184 files,  10791 codes, 101 comments, 873 blanks, all 11765 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        160 |      5,704 |        101 |        822 |      6,627 |
| Markdown |          8 |      5,093 |          0 |         52 |      5,145 |
| JSON     |          2 |          2 |          0 |          0 |          2 |
| PHP      |          1 |          1 |          0 |          0 |          1 |
| C        |         13 |         -9 |          0 |         -1 |        -10 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/everlasting/acm_training/CF/1500/A. Boredom.cpp                             | C++      |         45 |          1 |          6 |         52 |
| /home/everlasting/acm_training/CF/Hello 2026/A.cpp                                | C++      |         36 |          0 |          6 |         42 |
| /home/everlasting/acm_training/CF/Hello 2026/B.cpp                                | C++      |         50 |          0 |          8 |         58 |
| /home/everlasting/acm_training/CF/Hello 2026/C.cpp                                | C++      |         37 |          0 |          8 |         45 |
| /home/everlasting/acm_training/CF/Hello 2026/D.cpp                                | C++      |         54 |          0 |         11 |         65 |
| /home/everlasting/acm_training/CF/Round 1018/A.cpp                                | C++      |         42 |          0 |          6 |         48 |
| /home/everlasting/acm_training/CF/Round 1018/B.cpp                                | C++      |         43 |          0 |          9 |         52 |
| /home/everlasting/acm_training/CF/Round 1039/B.cpp                                | C++      |         23 |          0 |          4 |         27 |
| /home/everlasting/acm_training/CF/Round 1040/B.cpp                                | C++      |         43 |          0 |          3 |         46 |
| /home/everlasting/acm_training/CF/Round 1040/C.cpp                                | C++      |         46 |          0 |          6 |         52 |
| /home/everlasting/acm_training/CF/Round 1042/C.cpp                                | C++      |         36 |          0 |          4 |         40 |
| /home/everlasting/acm_training/CF/Round 1042/D.cpp                                | C++      |         45 |          0 |          5 |         50 |
| /home/everlasting/acm_training/CF/Round 1042/E.cpp                                | C++      |         40 |          0 |          4 |         44 |
| /home/everlasting/acm_training/CF/Round 1072/A.cpp                                | C++      |         36 |          0 |          4 |         40 |
| /home/everlasting/acm_training/CF/Round 1072/B.cpp                                | C++      |         43 |          0 |          3 |         46 |
| /home/everlasting/acm_training/CF/Round 1072/C.cpp                                | C++      |         73 |          0 |          8 |         81 |
| /home/everlasting/acm_training/CF/Round 1072/D.cpp                                | C++      |         42 |          0 |          6 |         48 |
| /home/everlasting/acm_training/CF/Round 1072/E.cpp                                | C++      |         53 |          0 |          8 |         61 |
| /home/everlasting/acm_training/CF/Round 1073/A.cpp                                | C++      |         61 |          0 |          4 |         65 |
| /home/everlasting/acm_training/CF/Round 1073/B.cpp                                | C++      |         31 |          0 |          4 |         35 |
| /home/everlasting/acm_training/CF/Round 1073/C.cpp                                | C++      |         50 |          0 |          4 |         54 |
| /home/everlasting/acm_training/CF/Round 1073/D.cpp                                | C++      |         33 |          0 |          3 |         36 |
| /home/everlasting/acm_training/CF/Round 1074/A.cpp                                | C++      |         22 |          0 |          2 |         24 |
| /home/everlasting/acm_training/CF/Round 1074/B.cpp                                | C++      |         37 |          1 |          7 |         45 |
| /home/everlasting/acm_training/CF/Round 1074/C.cpp                                | C++      |         44 |          0 |          5 |         49 |
| /home/everlasting/acm_training/CF/Round 1074/D.cpp                                | C++      |         44 |          0 |          5 |         49 |
| /home/everlasting/acm_training/CF/Round 1074/E.cpp                                | C++      |         77 |          0 |          7 |         84 |
| /home/everlasting/acm_training/CF/Round 1074/F.cpp                                | C++      |         42 |          0 |          5 |         47 |
| /home/everlasting/acm_training/CF/Round 1074/G.cpp                                | C++      |         66 |          0 |          5 |         71 |
| /home/everlasting/acm_training/CNB24/Hello WUSTACM.c                              | C        |         -6 |          0 |         -3 |         -9 |
| /home/everlasting/acm_training/CNB24/亵渎上.cpp                                      | C++      |        -58 |         -1 |         -7 |        -66 |
| /home/everlasting/acm_training/CNB24/凡安要当超级矿工.c                                   | C        |        -22 |          0 |         -8 |        -30 |
| /home/everlasting/acm_training/CNB24/大贤至圣先师的超级难题.c                                | C        |          0 |          0 |         -1 |         -1 |
| /home/everlasting/acm_training/CNB24/我不想上课.c                                      | C        |        -39 |          0 |         -9 |        -48 |
| /home/everlasting/acm_training/CNB24/查询（爆了）.c                                     | C        |        -35 |          0 |         -9 |        -44 |
| /home/everlasting/acm_training/CNB24/沁湖鱼宴.c                                       | C        |          0 |          0 |         -1 |         -1 |
| /home/everlasting/acm_training/CNB24/沁湖鱼宴.cpp                                     | C++      |        -65 |         -1 |         -8 |        -74 |
| /home/everlasting/acm_training/CNB24/邪恶的数字.cpp                                    | C++      |        -39 |          0 |         -4 |        -43 |
| /home/everlasting/acm_training/CNB24/高数之挂也挂不完.cpp                                 | C++      |        -34 |         -1 |         -6 |        -41 |
| /home/everlasting/acm_training/atcoder/ABC 431/A.cpp                              | C++      |         28 |          1 |          3 |         32 |
| /home/everlasting/acm_training/atcoder/ABC 431/B.cpp                              | C++      |         40 |          1 |          6 |         47 |
| /home/everlasting/acm_training/atcoder/ABC 431/C.cpp                              | C++      |         52 |          1 |          8 |         61 |
| /home/everlasting/acm_training/atcoder/ABC 432/A.cpp                              | C++      |         28 |          1 |          6 |         35 |
| /home/everlasting/acm_training/atcoder/ABC 432/B.cpp                              | C++      |         44 |          1 |          8 |         53 |
| /home/everlasting/acm_training/atcoder/ABC 440/A.cpp                              | C++      |         31 |          1 |          5 |         37 |
| /home/everlasting/acm_training/atcoder/ABC 440/B.cpp                              | C++      |         57 |          1 |         10 |         68 |
| /home/everlasting/acm_training/atcoder/ABC 440/C.cpp                              | C++      |         45 |          0 |         10 |         55 |
| /home/everlasting/acm_training/atcoder/ABC 440/D.cpp                              | C++      |         45 |          1 |          6 |         52 |
| /home/everlasting/acm_training/atcoder/ABC 441/A.cpp                              | C++      |         25 |          1 |          2 |         28 |
| /home/everlasting/acm_training/atcoder/ABC 441/B.cpp                              | C++      |         47 |          1 |          4 |         52 |
| /home/everlasting/acm_training/atcoder/ABC 441/C.cpp                              | C++      |         36 |          1 |          5 |         42 |
| /home/everlasting/acm_training/atcoder/ABC 441/D.cpp                              | C++      |         40 |          1 |          6 |         47 |
| /home/everlasting/acm_training/atcoder/ABC 441/E.cpp                              | C++      |         78 |          1 |         16 |         95 |
| /home/everlasting/acm_training/atcoder/AtCoder Beginner Contest 431/A.cpp         | C++      |        -28 |         -1 |         -3 |        -32 |
| /home/everlasting/acm_training/atcoder/AtCoder Beginner Contest 431/B.cpp         | C++      |        -40 |         -1 |         -6 |        -47 |
| /home/everlasting/acm_training/atcoder/AtCoder Beginner Contest 431/C.cpp         | C++      |        -52 |         -1 |         -8 |        -61 |
| /home/everlasting/acm_training/atcoder/AtCoder Beginner Contest 432/A.cpp         | C++      |        -28 |         -1 |         -6 |        -35 |
| /home/everlasting/acm_training/atcoder/AtCoder Beginner Contest 432/B.cpp         | C++      |        -44 |         -1 |         -8 |        -53 |
| /home/everlasting/acm_training/atcoder/Educational DP Contest/A.cpp               | C++      |         31 |          1 |          5 |         37 |
| /home/everlasting/acm_training/atcoder/Educational DP Contest/B.cpp               | C++      |         32 |          1 |          4 |         37 |
| /home/everlasting/acm_training/atcoder/Educational DP Contest/C.cpp               | C++      |         32 |          1 |          3 |         36 |
| /home/everlasting/acm_training/atcoder/Educational DP Contest/D.cpp               | C++      |         31 |          1 |          4 |         36 |
| /home/everlasting/acm_training/atcoder/Educational DP Contest/E.cpp               | C++      |         38 |          1 |          5 |         44 |
| /home/everlasting/acm_training/atcoder/Educational DP Contest/F.cpp               | C++      |         46 |          1 |          4 |         51 |
| /home/everlasting/acm_training/atcoder/Educational DP Contest/H.cpp               | C++      |         47 |          1 |          7 |         55 |
| /home/everlasting/acm_training/atcoder/Educational DP Contest/I.cpp               | C++      |          0 |          0 |          1 |          1 |
| /home/everlasting/acm_training/niuke/2025跨年场/A.php                                | PHP      |          1 |          0 |          0 |          1 |
| /home/everlasting/acm_training/niuke/2025跨年场/C.cpp                                | C++      |         35 |          1 |          4 |         40 |
| /home/everlasting/acm_training/niuke/2025跨年场/D.cpp                                | C++      |         30 |          1 |          4 |         35 |
| /home/everlasting/acm_training/niuke/2025跨年场/E.cpp                                | C++      |         24 |          1 |          4 |         29 |
| /home/everlasting/acm_training/niuke/2025跨年场/F.cpp                                | C++      |         22 |          3 |          3 |         28 |
| /home/everlasting/acm_training/niuke/2025跨年场/H.cpp                                | C++      |         15 |          3 |          3 |         21 |
| /home/everlasting/acm_training/niuke/小白月赛/122/D.cpp                               | C++      |         10 |          0 |          0 |         10 |
| /home/everlasting/acm_training/niuke/小白月赛/127/A.cpp                               | C++      |         31 |          1 |          3 |         35 |
| /home/everlasting/acm_training/niuke/小白月赛/127/B.cpp                               | C++      |         33 |          1 |          4 |         38 |
| /home/everlasting/acm_training/niuke/小白月赛/127/C.cpp                               | C++      |         36 |          0 |          4 |         40 |
| /home/everlasting/acm_training/niuke/小白月赛/127/D.cpp                               | C++      |         55 |          0 |          8 |         63 |
| /home/everlasting/acm_training/niuke/小白月赛/127/E.cpp                               | C++      |         47 |          0 |          7 |         54 |
| /home/everlasting/acm_training/niuke/技能树/第三章/ 二分搜索/【模板】整数域二分.cpp                  | C++      |         27 |          1 |          3 |         31 |
| /home/everlasting/acm_training/niuke/技能树/第三章/ 二分搜索/不想做二分题.cpp                     | C++      |         32 |          1 |          8 |         41 |
| /home/everlasting/acm_training/niuke/技能树/第三章/动态规划进阶/01背包前置题.cpp                   | C++      |         22 |          1 |          4 |         27 |
| /home/everlasting/acm_training/niuke/技能树/第三章/搜索入门/A+B Problem.cpp                 | C++      |          0 |          0 |          1 |          1 |
| /home/everlasting/acm_training/niuke/技能树/第三章/搜索入门/kotori和素因子.cpp                  | C++      |         84 |          1 |         13 |         98 |
| /home/everlasting/acm_training/niuke/技能树/第三章/搜索入门/岛屿数量.cpp                        | C++      |         49 |          1 |          8 |         58 |
| /home/everlasting/acm_training/niuke/技能树/第二章/dp入门综练/nico和niconiconi.cpp           | C++      |         35 |          1 |          5 |         41 |
| /home/everlasting/acm_training/niuke/技能树/第二章/dp入门综练/小红蹦跳蹦跳.cpp                    | C++      |         29 |          7 |          7 |         43 |
| /home/everlasting/acm_training/niuke/技能树/第二章/dp入门综练/最长不下降子序列.cpp                  | C++      |         33 |          1 |          4 |         38 |
